strategy,num_mines,time_to_kill,surviving_mines,enemy_destroyed
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,2,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,431,1,True
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),2,412,0,False
Жадный алгоритм (Greedy Attack),3,431,2,True
Жадный алгоритм (Greedy Attack),3,431,2,True
Жадный алгоритм (Greedy Attack),3,431,3,True
Жадный алгоритм (Greedy Attack),3,431,2,True
Жадный алгоритм (Greedy Attack),3,431,2,True
Жадный алгоритм (Greedy Attack),3,431,3,True
Жадный алгоритм (Greedy Attack),3,431,2,True
Жадный алгоритм (Greedy Attack),3,431,3,True
