strategy,num_mines,time_to_kill,surviving_mines,enemy_destroyed
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,2,True
Жадный алгоритм (Greedy Attack),3,259,3,True
Жадный алгоритм (Greedy Attack),5,259,4,True
